,MATCHUP,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,WL
0,ATL @ PHX,115,40,91,0.44,12,35.0,0.343,23,29,0.793,12.0,24.0,36.0,27,11.0,3,8,23,-13.0,L
1,ATL @ LAL,105,42,98,0.429,9,41.0,0.22,12,15,0.8,12.0,30.0,42.0,32,8.0,5,9,14,-31.0,L
2,ATL @ LAC,110,41,84,0.488,17,34.0,0.5,11,12,0.917,10.0,35.0,45.0,32,10.0,7,14,22,17.0,W
3,ATL @ UTA,122,41,92,0.446,20,39.0,0.513,20,27,0.741,11.0,30.0,41.0,32,7.0,5,9,16,-2.0,L
4,ATL @ POR,102,38,88,0.432,14,39.0,0.359,12,18,0.667,13.0,25.0,38.0,19,11.0,6,14,23,-4.0,L
5,ATL vs. NOP,103,38,91,0.418,17,46.0,0.37,10,13,0.769,12.0,29.0,41.0,28,6.0,4,11,15,-13.0,L
6,ATL @ MEM,99,37,87,0.425,15,35.0,0.429,10,15,0.667,15.0,32.0,47.0,21,9.0,5,14,20,7.0,W
7,ATL vs. CLE,112,43,84,0.512,11,30.0,0.367,15,20,0.75,8.0,34.0,42.0,27,7.0,3,9,17,11.0,W
8,ATL @ NYK,116,44,87,0.506,10,31.0,0.323,18,23,0.783,13.0,38.0,51.0,26,6.0,5,14,13,16.0,W
9,ATL @ BKN,102,37,87,0.425,11,34.0,0.324,17,23,0.739,12.0,30.0,42.0,23,4.0,4,11,19,-12.0,L
10,ATL @ BKN,97,37,86,0.43,8,28.0,0.286,15,21,0.714,8.0,31.0,39.0,18,3.0,8,11,14,-27.0,L
11,ATL vs. UTA,124,46,93,0.495,12,32.0,0.375,20,23,0.87,15.0,40.0,55.0,27,8.0,8,17,15,27.0,W
12,ATL vs. ORL,109,41,90,0.456,12,29.0,0.414,15,17,0.882,9.0,35.0,44.0,31,10.0,3,9,17,17.0,W
13,ATL vs. TOR,121,46,106,0.434,12,39.0,0.308,17,24,0.708,20.0,34.0,54.0,27,5.0,4,9,11,-2.0,L
14,ATL @ CHA,99,36,89,0.404,9,38.0,0.237,18,20,0.9,15.0,30.0,45.0,23,5.0,6,16,20,-23.0,L
15,ATL vs. CHI,126,44,94,0.468,14,43.0,0.326,24,29,0.828,15.0,34.0,49.0,33,4.0,3,11,20,-10.0,L
16,ATL vs. HOU,122,40,88,0.455,14,41.0,0.341,28,37,0.757,9.0,32.0,41.0,25,7.0,8,11,18,9.0,W
17,ATL @ PHI,127,42,81,0.519,16,36.0,0.444,27,33,0.818,9.0,31.0,40.0,31,4.0,9,13,19,6.0,W
18,ATL @ BOS,117,43,102,0.422,13,41.0,0.317,18,20,0.9,13.0,36.0,49.0,24,8.0,2,9,13,-8.0,L
19,ATL vs. LAC,144,51,95,0.537,20,39.0,0.513,22,27,0.815,13.0,26.0,39.0,35,5.0,4,11,22,-5.0,L
20,ATL vs. GSW,141,55,114,0.482,14,43.0,0.326,17,22,0.773,16.0,41.0,57.0,27,5.0,4,8,20,7.0,W
21,ATL vs. PHX,129,49,95,0.516,17,44.0,0.386,14,18,0.778,12.0,31.0,43.0,29,7.0,4,9,13,9.0,W
22,ATL vs. LAL,138,53,101,0.525,16,38.0,0.421,16,18,0.889,12.0,34.0,46.0,32,10.0,2,12,18,16.0,W
23,ATL vs. TOR,126,44,95,0.463,6,27.0,0.222,32,40,0.8,20.0,31.0,51.0,27,7.0,4,14,21,1.0,W
24,ATL vs. DAL,143,51,97,0.526,15,34.0,0.441,26,30,0.867,12.0,24.0,36.0,32,7.0,2,7,24,-5.0,L
25,ATL @ GSW,112,39,94,0.415,14,43.0,0.326,20,26,0.769,13.0,32.0,45.0,30,7.0,2,10,16,-22.0,L
26,ATL @ SAC,107,36,93,0.387,14,40.0,0.35,21,27,0.778,13.0,37.0,50.0,19,2.0,7,12,19,-15.0,L
27,ATL vs. CLE,95,37,93,0.398,11,38.0,0.289,10,15,0.667,11.0,34.0,45.0,25,5.0,4,11,15,-21.0,L
28,ATL @ MIA,109,40,87,0.46,15,35.0,0.429,14,17,0.824,9.0,29.0,38.0,23,6.0,2,13,20,1.0,W
29,ATL vs. ORL,106,39,76,0.513,8,25.0,0.32,20,22,0.909,10.0,31.0,41.0,21,8.0,2,23,17,2.0,W
30,ATL vs. SAS,109,40,93,0.43,13,38.0,0.342,16,21,0.762,13.0,44.0,57.0,24,8.0,6,16,19,10.0,W
31,ATL vs. WAS,99,32,93,0.344,11,40.0,0.275,24,33,0.727,16.0,34.0,50.0,21,9.0,7,14,20,-28.0,L
32,ATL vs. IND,108,40,89,0.449,11,30.0,0.367,17,23,0.739,12.0,16.0,28.0,25,14.0,2,14,13,-18.0,L
33,ATL vs. PHI,139,48,102,0.471,12,34.0,0.353,31,42,0.738,16.0,39.0,55.0,32,6.0,8,12,21,7.0,W
34,ATL @ ORL,110,42,91,0.462,9,30.0,0.3,17,29,0.586,8.0,42.0,50.0,21,9.0,10,12,23,-7.0,L
35,ATL @ IND,116,40,93,0.43,10,42.0,0.238,26,30,0.867,14.0,25.0,39.0,21,6.0,3,14,11,-34.0,L
36,ATL vs. OKC,141,48,95,0.505,14,39.0,0.359,31,33,0.939,15.0,34.0,49.0,30,8.0,5,11,21,3.0,W
37,ATL @ WAS,130,47,95,0.495,12,32.0,0.375,24,37,0.649,12.0,46.0,58.0,27,5.0,3,12,18,4.0,W
38,ATL vs. SAC,110,37,94,0.394,15,43.0,0.349,21,25,0.84,18.0,33.0,51.0,29,9.0,4,15,16,-7.0,L
39,ATL @ CHI,113,41,89,0.461,13,45.0,0.289,18,21,0.857,12.0,28.0,40.0,24,6.0,3,15,21,-5.0,L
40,ATL vs. MEM,119,45,96,0.469,13,43.0,0.302,16,20,0.8,13.0,28.0,41.0,28,8.0,5,10,22,-6.0,L
41,ATL @ MIA,113,42,96,0.438,19,54.0,0.352,10,14,0.714,12.0,31.0,43.0,29,9.0,2,13,23,-9.0,L
42,ATL @ HOU,134,47,91,0.516,17,40.0,0.425,23,28,0.821,12.0,32.0,44.0,31,4.0,3,9,18,7.0,W
43,ATL vs. DET,130,46,85,0.541,16,36.0,0.444,22,27,0.815,11.0,29.0,40.0,25,6.0,10,17,24,6.0,W
44,ATL @ CLE,119,41,85,0.482,15,36.0,0.417,22,25,0.88,6.0,28.0,34.0,21,5.0,4,11,21,-8.0,L
45,ATL @ TOR,125,52,101,0.515,16,41.0,0.39,5,6,0.833,16.0,39.0,55.0,34,4.0,4,12,19,21.0,W
46,ATL @ TOR,128,48,100,0.48,18,41.0,0.439,14,19,0.737,13.0,29.0,42.0,32,9.0,8,7,18,-7.0,L
47,ATL vs. DEN,122,44,96,0.458,17,44.0,0.386,17,18,0.944,13.0,22.0,35.0,25,9.0,2,10,21,-7.0,L
48,ATL @ PHI,114,41,104,0.394,13,39.0,0.333,19,21,0.905,23.0,32.0,55.0,20,3.0,4,13,23,-11.0,L
49,ATL vs. BKN,113,42,94,0.447,12,35.0,0.343,17,18,0.944,11.0,38.0,49.0,25,5.0,4,12,23,-1.0,L
50,ATL @ MIL,121,45,101,0.446,15,38.0,0.395,16,21,0.762,15.0,25.0,40.0,23,11.0,4,11,14,-11.0,L
51,ATL @ SAS,137,49,96,0.51,14,33.0,0.424,25,29,0.862,8.0,29.0,37.0,24,14.0,2,10,25,2.0,W
52,ATL @ CLE,105,35,101,0.347,13,44.0,0.295,22,24,0.917,14.0,30.0,44.0,21,9.0,3,10,16,-23.0,L
53,ATL @ BOS,103,36,88,0.409,19,53.0,0.358,12,19,0.632,11.0,32.0,43.0,15,5.0,4,15,17,-10.0,L
54,ATL @ WAS,136,52,102,0.51,18,37.0,0.486,14,20,0.7,17.0,32.0,49.0,29,13.0,2,9,15,28.0,W
55,ATL vs. BKN,147,51,116,0.44,18,49.0,0.367,27,29,0.931,22.0,36.0,58.0,24,10.0,8,14,18,2.0,W
56,ATL vs. IND,152,57,95,0.6,15,31.0,0.484,23,28,0.821,12.0,27.0,39.0,28,8.0,4,15,23,-5.0,L
57,ATL vs. PHI,116,40,89,0.449,12,33.0,0.364,24,30,0.8,14.0,25.0,39.0,24,8.0,4,13,20,-10.0,L
58,ATL vs. NYK,114,41,75,0.547,12,31.0,0.387,20,26,0.769,6.0,24.0,30.0,28,11.0,6,15,20,-2.0,L
59,ATL @ DET,126,45,87,0.517,12,33.0,0.364,24,26,0.923,10.0,31.0,41.0,28,9.0,7,14,19,6.0,W
60,ATL vs. MIA,109,38,87,0.437,18,46.0,0.391,15,18,0.833,15.0,33.0,48.0,23,6.0,6,21,19,-8.0,L
61,ATL @ ORL,120,41,85,0.482,15,39.0,0.385,23,30,0.767,8.0,28.0,36.0,22,13.0,7,17,25,1.0,W
62,ATL @ OKC,117,38,102,0.373,14,42.0,0.333,27,32,0.844,25.0,34.0,59.0,27,8.0,3,15,16,-9.0,L
63,ATL @ NOP,123,45,93,0.484,14,41.0,0.341,19,24,0.792,19.0,33.0,52.0,28,4.0,6,11,16,18.0,W
64,ATL vs. WAS,130,46,92,0.5,9,32.0,0.281,29,32,0.906,14.0,43.0,57.0,26,8.0,3,20,16,9.0,W
65,ATL vs. MIN,127,48,86,0.558,14,30.0,0.467,17,18,0.944,4.0,32.0,36.0,28,6.0,7,9,12,14.0,W
66,ATL @ MIL,127,47,93,0.505,15,37.0,0.405,18,22,0.818,13.0,33.0,46.0,32,15.0,2,17,17,17.0,W
67,ATL vs. NYK,120,42,87,0.483,12,32.0,0.375,24,30,0.8,9.0,35.0,44.0,28,7.0,6,14,20,-6.0,L
68,ATL @ CHA,110,39,93,0.419,5,29.0,0.172,27,33,0.818,12.0,30.0,42.0,24,12.0,1,12,19,-6.0,L
69,ATL @ PHI,106,37,83,0.446,13,37.0,0.351,19,28,0.679,14.0,30.0,44.0,30,11.0,3,24,21,-14.0,L
70,ATL @ IND,112,40,83,0.482,12,26.0,0.462,20,27,0.741,10.0,35.0,45.0,20,5.0,3,17,18,-4.0,L
71,ATL vs. NOP,110,42,88,0.477,9,42.0,0.214,17,20,0.85,10.0,36.0,46.0,28,15.0,3,22,17,5.0,W
72,ATL vs. MEM,103,40,91,0.44,16,42.0,0.381,7,12,0.583,7.0,34.0,41.0,29,16.0,5,20,21,1.0,W
73,ATL vs. CLE,108,37,85,0.435,12,41.0,0.293,22,25,0.88,10.0,40.0,50.0,22,9.0,2,20,16,1.0,W
74,ATL @ DAL,80,28,79,0.354,7,42.0,0.167,17,22,0.773,13.0,28.0,41.0,16,5.0,6,17,18,-23.0,L
75,ATL vs. PHI,99,38,84,0.452,14,41.0,0.341,9,12,0.75,15.0,29.0,44.0,25,2.0,5,11,23,-3.4,W
76,ATL vs. MIN,99,31,74,0.419,11,33.0,0.333,26,33,0.788,15.0,31.0,46.0,19,4.0,7,19,22,10.6,W
77,ATL @ DEN,98,37,77,0.481,15,38.0,0.395,9,17,0.529,11.0,26.0,37.0,24,4.0,8,12,20,5.4,W
78,ATL vs. SAC,76,26,77,0.338,14,47.0,0.298,10,12,0.833,21.0,26.0,47.0,16,12.0,2,21,25,-13.8,L
79,ATL vs. BOS,120,44,94,0.468,15,35.0,0.429,17,22,0.773,12.0,33.0,45.0,28,5.0,7,10,15,-8.0,L
80,ATL @ BOS,119,45,96,0.469,19,41.0,0.463,10,10,1.0,6.0,28.0,34.0,26,5.0,4,8,16,2.0,W
81,ATL vs. BOS,121,43,98,0.439,14,37.0,0.378,21,24,0.875,11.0,31.0,42.0,25,8.0,4,12,24,-8.0,L
82,ATL vs. BOS,130,51,91,0.56,15,34.0,0.441,13,16,0.813,11.0,37.0,48.0,24,5.0,6,18,15,8.0,W
83,ATL @ BOS,106,43,101,0.426,16,48.0,0.333,4,8,0.5,19.0,30.0,49.0,21,10.0,4,15,11,-13.0,L
84,ATL @ BOS,99,38,98,0.388,5,29.0,0.172,18,22,0.818,14.0,31.0,45.0,23,13.0,4,11,17,-13.0,L
85,ATL @ MIA,116,45,96,0.469,10,41.0,0.244,16,27,0.593,22.0,41.0,63.0,26,5.0,8,12,21,11.0,W
86,ATL @ BOS,114,44,97,0.454,11,39.0,0.282,15,19,0.789,16.0,34.0,50.0,27,11.0,5,9,12,-6.0,L
87,ATL vs. PHI,131,51,92,0.554,10,33.0,0.303,19,28,0.679,4.0,34.0,38.0,32,11.0,7,20,19,-5.0,L
88,ATL vs. WAS,134,43,84,0.512,13,30.0,0.433,35,40,0.875,12.0,36.0,48.0,30,10.0,5,16,23,18.0,W
